doi,wos-uid,author,journal
DO=10.1007/s11017-022-09601-3,WOS:000894549100001,"Moen, Ole Martin",THEORETICAL MEDICINE AND BIOETHICS
DO=10.1007/s13347-023-00620-z,0,0,0
DO=10.1007/s44020-023-00032-8,WOS:000953864100001,"Turner, Carmel",AUSTRALIAN JOURNAL OF LANGUAGE AND LITERACY
DO=10.1007/s44020-023-00032-8,WOS:000953864100001,"Barton, Georgina",AUSTRALIAN JOURNAL OF LANGUAGE AND LITERACY
DO=10.1007/s44020-023-00032-8,WOS:000953864100001,"Riddle, Stewart",AUSTRALIAN JOURNAL OF LANGUAGE AND LITERACY
DO=10.1186/s42522-022-00076-9,WOS:000948833600001,"Van Patter, Lauren E. E.",ONE HEALTH OUTLOOK
DO=10.1186/s42522-022-00076-9,WOS:000948833600001,"Linares-Roake, Julia",ONE HEALTH OUTLOOK
DO=10.1186/s42522-022-00076-9,WOS:000948833600001,"Breen, Andrea V.",ONE HEALTH OUTLOOK
DO=10.1007/s12369-023-00979-1,WOS:000943108000001,"Velazquez, Isabel Garcia",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s10460-022-10337-y,WOS:000830933700001,"Tarjem, Ida Arff",AGRICULTURE AND HUMAN VALUES
DO=10.1007/s10460-022-10337-y,WOS:000830933700001,"Westengen, Ola Tveitereid",AGRICULTURE AND HUMAN VALUES
DO=10.1007/s10460-022-10337-y,WOS:000830933700001,"Wisborg, Poul",AGRICULTURE AND HUMAN VALUES
DO=10.1007/s10460-022-10337-y,WOS:000830933700001,"Glaab, Katharina",AGRICULTURE AND HUMAN VALUES
DO=10.1007/s11024-022-09482-9,WOS:000909430000001,"McEntee, Marie",MINERVA
DO=10.1007/s11024-022-09482-9,WOS:000909430000001,"Medvecky, Fabien",MINERVA
DO=10.1007/s11024-022-09482-9,WOS:000909430000001,"MacBride-Stewart, Sara",MINERVA
DO=10.1007/s11024-022-09482-9,WOS:000909430000001,"Macknight, Vicki",MINERVA
DO=10.1007/s11024-022-09482-9,WOS:000909430000001,"Martin, Michael",MINERVA
DO=10.1007/s42438-023-00391-y,0,0,0
DO=10.1007/s11017-023-09606-6,WOS:000929959600002,"Brennan, Cian",THEORETICAL MEDICINE AND BIOETHICS
DO=10.1007/s10551-023-05339-7,WOS:000930197100001,"Bankins, Sarah",JOURNAL OF BUSINESS ETHICS
DO=10.1007/s10551-023-05339-7,WOS:000930197100001,"Formosa, Paul",JOURNAL OF BUSINESS ETHICS
DO=10.1057/s41599-023-01543-y,WOS:000931459700003,"Jafari, Mona",HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS
DO=10.1057/s41599-023-01543-y,WOS:000931459700003,"Beyad, Maryam Soltan",HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS
DO=10.1057/s41599-023-01543-y,WOS:000931459700003,"Ramin, Zohreh",HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS
DO=10.1007/s00146-021-01296-9,WOS:000710829400001,"Larsen, Mads",AI & SOCIETY
DO=10.1007/s10978-022-09342-1,WOS:000950260100002,"Carias, Reuben",LAW AND CRITIQUE
DO=10.1007/s00146-021-01311-z,WOS:000714828000001,"Svensson, Jakob",AI & SOCIETY
DO=10.1007/s10796-021-10139-3,WOS:000861550500001,"Zhang, Jingying",18TH INTERNATIONAL SOC DESIGN CONFERENCE 2021 (ISOCC 2021)
DO=10.1007/s10796-021-10139-3,WOS:000861550500001,"Zhao, Yang",18TH INTERNATIONAL SOC DESIGN CONFERENCE 2021 (ISOCC 2021)
DO=10.1007/s10796-021-10139-3,WOS:000861550500001,"Chen, Mingyi",18TH INTERNATIONAL SOC DESIGN CONFERENCE 2021 (ISOCC 2021)
DO=10.1007/s10796-021-10139-3,WOS:000861550500001,"Chen, Chixiao",18TH INTERNATIONAL SOC DESIGN CONFERENCE 2021 (ISOCC 2021)
DO=10.1007/s10796-021-10139-3,WOS:000861550500001,"Ye, Fan",18TH INTERNATIONAL SOC DESIGN CONFERENCE 2021 (ISOCC 2021)
DO=10.1007/s10796-021-10139-3,WOS:000861550500001,"Qi, Liang",18TH INTERNATIONAL SOC DESIGN CONFERENCE 2021 (ISOCC 2021)
DO=10.1007/s10796-021-10139-3,WOS:000861550500001,IEEE,18TH INTERNATIONAL SOC DESIGN CONFERENCE 2021 (ISOCC 2021)
DO=10.1007/s11196-022-09930-5,WOS:000863972100001,"Philippopoulos-Mihalopoulos, Andreas",INTERNATIONAL JOURNAL FOR THE SEMIOTICS OF LAW-REVUE INTERNATIONALE DE SEMIOTIQUE JURIDIQUE
DO=10.1007/s00146-021-01295-w,WOS:000767970100001,"Fosch-Villaronga, Eduard",HRI '21: COMPANION OF THE 2021 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION
DO=10.1007/s00146-021-01295-w,WOS:000767970100001,"Poulse, Adam",HRI '21: COMPANION OF THE 2021 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION
DO=10.1007/s00146-021-01295-w,WOS:000767970100001,ASSOC COMP MACHINERY,HRI '21: COMPANION OF THE 2021 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION
DO=10.1007/s00146-021-01299-6,WOS:000703794000002,"Hermann, Isabella",AI & SOCIETY
DO=10.1007/s44223-023-00022-3,0,0,0
DO=10.1007/s42438-022-00389-y,0,0,0
DO=10.1007/978-3-031-16950-2_1,0,0,0
DO=10.2991/978-2-494069-97-8_36,0,0,0
DO=10.1007/978-981-19-6752-8_3,0,0,0
DO=10.1007/978-3-031-12604-8_13,0,0,0
DO=10.1007/978-3-031-16950-2_2,0,0,0
DO=10.1007/978-3-031-19201-2_4,0,0,0
DO=10.1007/978-3-030-91275-8_1,0,0,0
DO=10.1007/978-981-19-8951-3_8,0,0,0
DO=10.1007/978-981-19-8951-3_13,0,0,0
DO=10.1007/978-981-19-7985-9_1,0,0,0
DO=10.1007/978-3-031-13508-8_5,0,0,0
DO=10.1007/978-3-031-12604-8_7,0,0,0
DO=10.1007/978-3-031-13847-8_5,0,0,0
DO=10.1007/978-3-031-13847-8_8,0,0,0
DO=10.1007/978-3-031-13847-8_4,0,0,0
DO=10.1007/978-3-031-20928-4_6,0,0,0
DO=10.1007/978-981-19-7796-1_19,0,0,0
DO=10.1007/978-3-031-16670-9_2,0,0,0
DO=10.2991/978-94-6463-064-0_57,0,0,0
DO=10.1007/978-3-031-17403-2_1,0,0,0
DO=10.1007/s10583-022-09521-9,WOS:000901852000001,"Burton, Lindsay",CHILDRENS LITERATURE IN EDUCATION
DO=10.1007/s10583-021-09459-4,WOS:000673176300001,"Kerslake, Lorraine",CHILDRENS LITERATURE IN EDUCATION
DO=10.1007/s10816-022-09555-9,WOS:000765648000001,"Jervis, Ben",JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY
DO=10.1007/s11673-022-10206-7,WOS:000857285700001,"Wienmeister, Annett",JOURNAL OF BIOETHICAL INQUIRY
DO=10.1007/s10734-022-00930-9,WOS:000862741100001,"Ashwin, Paul",HIGHER EDUCATION
DO=10.1057/s42984-022-00056-3,0,0,0
DO=10.1057/s42984-022-00048-3,0,0,0
DO=10.1007/s12369-022-00876-z,WOS:000826804600001,"Osawa, Hirotaka",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s12369-022-00876-z,WOS:000826804600001,"Miyamoto, Dohjin",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s12369-022-00876-z,WOS:000826804600001,"Hase, Satoshi",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s12369-022-00876-z,WOS:000826804600001,"Saijo, Reina",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s12369-022-00876-z,WOS:000826804600001,"Fukuchi, Kentaro",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s12369-022-00876-z,WOS:000826804600001,"Miyake, Yoichiro",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s10643-022-01415-1,WOS:000886325200001,"Kucirkova, Natalia",EARLY CHILDHOOD EDUCATION JOURNAL
DO=10.1007/s10643-022-01415-1,WOS:000886325200001,"Grover, Vibeke",EARLY CHILDHOOD EDUCATION JOURNAL
DO=10.1007/s40656-022-00540-9,WOS:000881610300003,"Friedman, Yael",HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES
DO=10.1007/s10551-021-04945-7,WOS:000698319600002,"Gherardi, Silvia",JOURNAL OF BUSINESS ETHICS
DO=10.1007/s10551-021-04945-7,WOS:000698319600002,"Laasch, Oliver",JOURNAL OF BUSINESS ETHICS
DO=10.1007/s11948-022-00410-4,WOS:000877692100001,"Lyreskog, David M.",SCIENCE AND ENGINEERING ETHICS
DO=10.1007/s11948-022-00410-4,WOS:000877692100001,"McKeown, Alex",SCIENCE AND ENGINEERING ETHICS
DO=10.1007/s12369-022-00921-x,WOS:000877826800003,"Bharatharaj, Jaishankar",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s12369-022-00921-x,WOS:000877826800003,"Kutty, Senthil Kumar Sasthan",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s12369-022-00921-x,WOS:000877826800003,"Munisamy, Achudhan",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s12369-022-00921-x,WOS:000877826800003,"Krageloh, Christian U.",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s10978-022-09328-z,WOS:000826820600001,"Chandler, David",LAW AND CRITIQUE
DO=10.1007/s43681-021-00110-y,0,0,0
DO=10.1007/s11948-022-00404-2,WOS:000873816800001,"Jebari, Karim",SCIENCE AND ENGINEERING ETHICS
DO=10.1007/s11948-022-00404-2,WOS:000873816800001,"Sandberg, Anders",SCIENCE AND ENGINEERING ETHICS
DO=10.1007/s13347-022-00591-7,0,0,0
DO=10.1007/s13384-022-00578-5,WOS:000869348200001,"Wolfe, Melissa Joy",AUSTRALIAN EDUCATIONAL RESEARCHER
DO=10.1007/s43638-022-00041-3,0,0,0
DO=10.1007/s10699-022-09855-z,WOS:000866292100001,"Buongiorno, Federica",FOUNDATIONS OF SCIENCE
DO=10.1007/s42438-022-00311-6,0,0,0
DO=10.1007/s10745-022-00354-0,WOS:000861174200001,"Gomez, Silvia",HUMAN ECOLOGY
DO=10.1007/s10978-022-09323-4,WOS:000852249500001,"Kotze, Louis J.",LAW AND CRITIQUE
DO=10.1007/s10978-022-09323-4,WOS:000852249500001,"Adelman, Sam",LAW AND CRITIQUE
DO=10.1007/s10583-022-09508-6,WOS:000849987500001,"Wlodarczyk, Justyna",CHILDRENS LITERATURE IN EDUCATION
DO=10.1007/s10583-022-09508-6,WOS:000849987500001,"Wilde, Julia",CHILDRENS LITERATURE IN EDUCATION
DO=10.1007/s41297-022-00172-w,0,0,0
DO=10.1007/s41244-022-00261-3,WOS:000830377600001,"Crane, Kylie",LILI-ZEITSCHRIFT FUR LITERATURWISSENSCHAFT UND LINGUISTIK
DO=10.1007/s42438-022-00333-0,0,0,0
DO=10.1134/S1019331622120073,WOS:000861880000002,"Merzlyakov, S. S.",HERALD OF THE RUSSIAN ACADEMY OF SCIENCES
DO=10.1057/s41286-022-00135-6,WOS:000837961000001,"Roberts, Tom",SUBJECTIVITY
DO=10.1057/s41286-022-00135-6,WOS:000837961000001,"Lapworth, Andrew",SUBJECTIVITY
DO=10.1057/s41286-022-00135-6,WOS:000837961000001,"Dewsbury, J. D.",SUBJECTIVITY
DO=10.1007/s41244-022-00262-2,WOS:000829680000001,"Temmen, Jens",LILI-ZEITSCHRIFT FUR LITERATURWISSENSCHAFT UND LINGUISTIK
DO=10.1057/s41286-022-00137-4,WOS:000852254900001,"Hickey-Moody, Anna",SUBJECTIVITY
DO=10.1007/s10699-020-09766-x,WOS:000635509800002,"Wiltse, Heather",FOUNDATIONS OF SCIENCE
DO=10.1007/s11422-021-10082-4,WOS:000761876900001,"Smith, Theila",CULTURAL STUDIES OF SCIENCE EDUCATION
DO=10.1007/s11422-021-10082-4,WOS:000761876900001,"Avraamidou, Lucy",CULTURAL STUDIES OF SCIENCE EDUCATION
DO=10.1007/s11422-021-10082-4,WOS:000761876900001,"Adams, Jennifer D.",CULTURAL STUDIES OF SCIENCE EDUCATION
DO=10.1057/s41599-022-01314-1,WOS:000847336300002,Liu Yu-cheng,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS
DO=10.1007/s42438-022-00330-3,0,0,0
DO=10.1007/s42438-022-00326-z,0,0,0
DO=10.1007/s00146-022-01501-3,WOS:000837912000001,"Sherman, Stephanie",AI & SOCIETY
DO=10.1007/s11948-022-00387-0,WOS:000835695200001,"Bak, Marieke A. R.",SCIENCE AND ENGINEERING ETHICS
DO=10.1007/s11948-022-00387-0,WOS:000835695200001,"Willems, Dick L.",SCIENCE AND ENGINEERING ETHICS
DO=10.1007/s11569-022-00423-0,WOS:000849176600001,"Okay, Ayse Melis",NANOETHICS
DO=10.1007/s11569-022-00423-0,WOS:000849176600001,"Tasdizen, Burak",NANOETHICS
DO=10.1007/s11569-022-00423-0,WOS:000849176600001,"McKinnon Bell, Charles John",NANOETHICS
DO=10.1007/s11569-022-00423-0,WOS:000849176600001,"Topdal, Beyza Dilem",NANOETHICS
DO=10.1007/s11569-022-00423-0,WOS:000849176600001,"Sahinol, Melike",NANOETHICS
DO=10.1007/s11569-022-00421-2,WOS:000843777900001,"Sahinol, Merve",NANOETHICS
DO=10.1007/s11569-022-00421-2,WOS:000843777900001,"Sahinol, Melike",NANOETHICS
DO=10.1007/s11196-021-09839-5,WOS:000656792200001,"Heritier, Paolo",INTERNATIONAL JOURNAL FOR THE SEMIOTICS OF LAW-REVUE INTERNATIONALE DE SEMIOTIQUE JURIDIQUE
DO=10.1007/s44206-022-00008-0,0,0,0
DO=10.1186/s40309-022-00205-7,WOS:000824893200001,"Romani, Alessia",EUROPEAN JOURNAL OF FUTURES RESEARCH
DO=10.1186/s40309-022-00205-7,WOS:000824893200001,"Casnati, Francesca",EUROPEAN JOURNAL OF FUTURES RESEARCH
DO=10.1186/s40309-022-00205-7,WOS:000824893200001,"Ianniello, Alessandro",EUROPEAN JOURNAL OF FUTURES RESEARCH
DO=10.1186/s40711-022-00168-z,WOS:000825341800002,"Yang, Yuchen",JOURNAL OF CHINESE SOCIOLOGY
DO=10.1007/s10551-021-04801-8,WOS:000636412500001,"Sayers, Janet",JOURNAL OF BUSINESS ETHICS
DO=10.1007/s10551-021-04801-8,WOS:000636412500001,"Martin, Lydia",JOURNAL OF BUSINESS ETHICS
DO=10.1007/s10551-021-04801-8,WOS:000636412500001,"Bell, Emma",JOURNAL OF BUSINESS ETHICS
DO=10.1007/s12369-021-00840-3,WOS:000749100400001,"Lamola, Malesela John",INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS
DO=10.1007/s13384-022-00516-5,WOS:000774650100001,"Wise, Kit",AUSTRALIAN EDUCATIONAL RESEARCHER
DO=10.1007/s13384-022-00516-5,WOS:000774650100001,"MacDonald, Abbey",AUSTRALIAN EDUCATIONAL RESEARCHER
DO=10.1007/s13384-022-00516-5,WOS:000774650100001,"Badham, Marnie",AUSTRALIAN EDUCATIONAL RESEARCHER
DO=10.1007/s13384-022-00516-5,WOS:000774650100001,"Brown, Natalie",AUSTRALIAN EDUCATIONAL RESEARCHER
DO=10.1007/s13384-022-00516-5,WOS:000774650100001,"Rankin, Scott",AUSTRALIAN EDUCATIONAL RESEARCHER
DO=10.1007/s11186-022-09474-4,WOS:000752241600001,"Hearn, Jeff",THEORY AND SOCIETY
DO=10.1007/s11186-022-09474-4,WOS:000752241600001,"Strid, Sofia",THEORY AND SOCIETY
DO=10.1007/s11186-022-09474-4,WOS:000752241600001,"Humbert, Anne Laure",THEORY AND SOCIETY
DO=10.1007/s11186-022-09474-4,WOS:000752241600001,"Balkmar, Dag",THEORY AND SOCIETY
DO=10.1007/s10551-022-05174-2,WOS:000815564900001,"Kortetmaki, Teea",JOURNAL OF BUSINESS ETHICS
DO=10.1007/s10551-022-05174-2,WOS:000815564900001,"Heikkinen, Anna",JOURNAL OF BUSINESS ETHICS
DO=10.1007/s10551-022-05174-2,WOS:000815564900001,"Jokinen, Ari",JOURNAL OF BUSINESS ETHICS
DO=10.1007/s10699-022-09853-1,WOS:000815454400001,"Ferro, Floriana",FOUNDATIONS OF SCIENCE
DO=10.1007/s00146-022-01492-1,WOS:000813632800001,"Scorici, Gabriela",AI & SOCIETY
DO=10.1007/s00146-022-01492-1,WOS:000813632800001,"Schultz, Mario D.",AI & SOCIETY
DO=10.1007/s00146-022-01492-1,WOS:000813632800001,"Seele, Peter",AI & SOCIETY
DO=10.1007/s43681-022-00186-0,0,0,0
DO=10.1007/s42438-022-00317-0,0,0,0
DO=10.1007/s11422-021-10075-3,WOS:000696413100001,"Postila, Teresa Elkin",CULTURAL STUDIES OF SCIENCE EDUCATION
DO=10.1007/s41358-021-00305-z,0,0,0
DO=10.1007/s00146-021-01212-1,WOS:000662110300001,"Gemeinboeck, Petra",AI & SOCIETY
DO=10.1007/s00146-021-01212-1,WOS:000662110300001,"Saunders, Rob",AI & SOCIETY
DO=10.1007/s11299-021-00281-5,0,0,0
DO=10.1007/s13178-022-00733-8,WOS:000801196200001,"Storer, Daniel",SEXUALITY RESEARCH AND SOCIAL POLICY
DO=10.1007/s13178-022-00733-8,WOS:000801196200001,"Prestage, Garrett",SEXUALITY RESEARCH AND SOCIAL POLICY
DO=10.1007/s13178-022-00733-8,WOS:000801196200001,"McManus, Hamish",SEXUALITY RESEARCH AND SOCIAL POLICY
DO=10.1007/s13178-022-00733-8,WOS:000801196200001,"Maher, Lisa",SEXUALITY RESEARCH AND SOCIAL POLICY
DO=10.1007/s13178-022-00733-8,WOS:000801196200001,"Bavinton, Benjamin R.",SEXUALITY RESEARCH AND SOCIAL POLICY
DO=10.1007/s13178-022-00733-8,WOS:000801196200001,"Ellard, Jeanne",SEXUALITY RESEARCH AND SOCIAL POLICY
DO=10.1007/s13178-022-00733-8,WOS:000801196200001,"Jin, Fengyi",SEXUALITY RESEARCH AND SOCIAL POLICY
